id,title,author,dating from,dating to
1,Martian,René Roubíček,1958,1958
2,Unearthlings,Bohumil Míra,1962,1962
3,Tomcat,Libuše Niklová,1963,1963
4,Toy,Viktor Fixl,1960,1969
5,Astronaut lamp,Michael Bang,1970,1970
6,Parasite,Minka Podhajská,1924,1924
7,Fantastic fish,Pravoslav Rada,1958,1958
8,Toy collection extraterrestrials,Studio My dvě,2016,2016
9,Animal pot,Jindra Viková,2002,2002
10,Hande hoch,Jakub Berdych,2016,2016
11,Shape in agony,Harumi Nakashima,1994,1994
12,Bowl republic,Maxim Velčovský,2001,2022
13,Pastil chair,Eero Aarnio,1968,1968
14,Chair dubbed Baroque,Milan Knížák,1985,1985
15,Buffalo and Giraffe,Libuše Niklová,1971,1971
16,Trefný vase,Bořek Šípek,1993,1993
17,Tribute to Rudolf Schlattauer - Batman Above the scientific Breeding Station in Průhonice,Zorka Ságlová,1982,1982
18,Summer dress,Martina Nevařilová,1997,1997
19,Trouser Suit,"Eva Oktávcová (model), Eva Jandíková (látka)",1992,1992
20,Summer dress with appliqué,Daniela Flejšarová,1985,1985
21,Summer life with wide shoulders,Zdena Bauerová,1984,1984
22,Summer dress,Květa Škamlová,1977,1977
23,Button-down blouse and bell-bottom trousers,Unknown,1970,1975
24,Mini-dress and hat,Květa Škamlová,1968,1968
25,Formal dress,Unknown,1962,1962
26,Summer dress,Unknow (home-made in Bohemia),1960,1960
27,Ball gown,Hanna Podolská Couture House,1936,1937
28,"Afternoon dress from an outfit (dress, coat, hat)",Rosenbaum Couture House,1927,1927
29,Reconstructed corset in Empire Style,Alena Samohýlová,1820,1820
30,Biedemaier Style Outfit: reconstructed corset and slip,Unknown,1825,1850
31,"19th century outfit: day shirt, corset, crinoline and underskirt",Unknown,1850,1875
32,"19th century outfit: corset ,day shirt, bustle, underskirt with frills and train",Unknown,1850,1900
33,"Set: chemise and drawers , corset and underskirt with wide ruffle",Unknown,1900,1915
34,Combinations with corset,Unknown,1910,1910
35,"Set: brassiere, slip and french knickers",Unknown,1920,1930
36,Elastic Corset,Unknown,1930,1940
37,"Set: necklace, bracelet and earrings",Jan Koula,1880,1889
38,Necklace,Unknown,1890,1899
39,Set: necklace and earrings,Unknown,1845,1845
40,Necklace,Unknown,1845,1845
41,"Set: tiara, hair comb, necklace, and earrings",Nitot et Fils,1811,1811
42,"Set: necklace, brooch, and earrings",Unknown,1820,1830
43,Neck chain,Unknown,1500,1550
44,Neck chain,Unknown,1500,1599
45,Purse - wrong description,,,
46,Purse - wrong description,,,
47,Somersault chair,Jerry Koza,2002,2002
48,"Swivel armchair for Hotel Thermal, Karlovy Vary","Věra Machoninová, Vladimír Machonin",1964,1964
49,"Swivel armchair for Hotel Thermal, Karlovy Vary","Věra Machoninová, Vladimír Machonin",1964,1970
50,Two-part cabinet set (U-450 model unit furniture),Jiří Jiroutek,1959,1959
51,Lounger-shaped armchair,Ladislav Žák,1930,1930
52,Self-assembly 4801 lounge chair,Joe Colombo,1963,1963
53,Zen Coffee Table,Gruppo DAM,1971,1971
54,Boppard chair,Michael Thonet,1836,1836
55,"Chair No.4, formerly for Café Daum in Vienna",Gebruder Thonet,1860,1865
56,Rocking chair,Gebruder Thonet,1860,1865
57,Folding chair Safari,Mogens Koch,1933,1933
58,Folding Chair,Thonet Mundus,1930,1939
59,Chair No. 14,Gebruder Thonet,1875,1900
60,Half-litre beer mug,Vratislav Šotola,1981,1985
